Date : 2026-03-12 00:45:41
Directory : /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt
Total : 220 files,  35297 codes, 676 comments, 3065 blanks, all 39038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useRoster.ts                                                                                                                               | TypeScript         |        114 |          2 |          6 |        122 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useShiftMutation.ts                                                                                                                        | TypeScript         |          6 |          2 |          3 |         11 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useSideBar.ts                                                                                                                              | TypeScript         |          8 |          1 |          3 |         12 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useStaffDrag.ts                                                                                                                            | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useTableId.ts                                                                                                                              | TypeScript         |         13 |          1 |          3 |         17 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useWeekNavigation.ts                                                                                                                       | TypeScript         |         69 |          6 |         10 |         85 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/layouts/Dashboard_layout.vue                                                                                                                           | Vue                |         54 |          3 |         31 |         88 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/lib/menu-data.ts                                                                                                                                       | TypeScript         |        260 |          6 |          7 |        273 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/lib/roster-mockdata.ts                                                                                                                                 | TypeScript         |        362 |          8 |         11 |        381 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/pages/apply-leave.vue                                                                                                                                  | Vue                |         89 |          0 |         49 |        138 |
